physical_quantity,power,energy,voltage
type,active,reactive,
,,,
01-01-2012 00:00,948,84,720
01-01-2012 00:00,185,34,246
01-01-2012 00:00,438,921,301
01-01-2012 00:00,152,212,759
01-01-2012 00:00,650,791,589
01-01-2012 00:00,407,328,897
01-01-2012 00:00,5,792,848
01-01-2012 00:00,514,132,415
01-01-2012 00:00,303,566,732
01-01-2012 00:00,419,803,892
01-01-2012 00:00,118,636,920
01-01-2012 00:00,951,411,891
01-01-2012 00:00,930,499,140
01-01-2012 00:00,334,368,315
01-01-2012 00:00,282,74,773
01-01-2012 00:00,55,154,681
01-01-2012 00:00,989,736,37
01-01-2012 00:00,438,18,876
01-01-2012 00:00,213,870,140
01-01-2012 00:00,579,773,924
01-01-2012 00:00,605,728,444
01-01-2012 00:00,14,139,532
01-01-2012 00:00,849,792,805
01-01-2012 00:00,250,324,715
01-01-2012 00:00,48,28,957
01-01-2012 00:00,681,277,250
01-01-2012 00:00,487,606,815
01-01-2012 00:00,539,238,150
01-01-2012 00:00,564,881,382
01-01-2012 00:00,382,783,955
01-01-2012 00:00,551,118,864
01-01-2012 00:00,550,67,773
01-01-2012 00:00,302,138,777
01-01-2012 00:00,286,838,397
01-01-2012 00:00,629,186,389
01-01-2012 00:00,484,825,627
01-01-2012 00:00,878,529,32
01-01-2012 00:00,925,595,475
01-01-2012 00:00,874,0,696
01-01-2012 00:00,336,186,921
01-01-2012 00:00,180,145,613
01-01-2012 00:00,23,273,166
01-01-2012 00:00,750,206,931
01-01-2012 00:00,89,927,723
01-01-2012 00:00,69,90,126
01-01-2012 00:00,71,806,85
01-01-2012 00:00,36,549,966
01-01-2012 00:00,968,673,239
01-01-2012 00:00,481,411,446
01-01-2012 00:00,456,541,229
01-01-2012 00:00,40,377,734
01-01-2012 00:00,263,250,263
01-01-2012 00:00,100,973,8
01-01-2012 00:00,234,865,152
01-01-2012 00:00,904,63,770
01-01-2012 00:00,504,357,479
01-01-2012 00:00,538,125,498
01-01-2012 00:00,585,65,628
01-01-2012 00:00,849,58,679
01-01-2012 00:00,791,150,936
01-01-2012 00:01,252,308,816
01-01-2012 00:01,193,572,63
01-01-2012 00:01,929,282,63
01-01-2012 00:01,366,827,802
01-01-2012 00:01,52,199,377
01-01-2012 00:01,767,123,70
01-01-2012 00:01,953,140,459
01-01-2012 00:01,626,588,308
01-01-2012 00:01,16,184,315
01-01-2012 00:01,910,77,886
01-01-2012 00:01,402,162,145
01-01-2012 00:01,528,851,152
01-01-2012 00:01,804,406,150
01-01-2012 00:01,458,557,723
01-01-2012 00:01,134,598,829
01-01-2012 00:01,406,602,212
01-01-2012 00:01,148,313,991
01-01-2012 00:01,945,667,100
01-01-2012 00:01,65,348,369
01-01-2012 00:01,520,34,485
01-01-2012 00:01,742,878,60
01-01-2012 00:01,579,893,469
01-01-2012 00:01,790,389,99
01-01-2012 00:01,467,452,907
01-01-2012 00:01,314,832,678
01-01-2012 00:01,808,514,125
01-01-2012 00:01,41,682,631
01-01-2012 00:01,212,705,95
01-01-2012 00:01,284,174,475
01-01-2012 00:01,224,921,252
01-01-2012 00:01,654,300,985
01-01-2012 00:01,200,828,468
01-01-2012 00:01,403,304,282
01-01-2012 00:01,233,704,776
01-01-2012 00:01,379,953,306
01-01-2012 00:01,933,595,376
01-01-2012 00:01,658,683,266
01-01-2012 00:01,381,845,216
01-01-2012 00:01,75,940,646
01-01-2012 00:01,130,358,253
01-01-2012 00:01,463,317,256
01-01-2012 00:01,526,939,522
01-01-2012 00:01,896,258,149
01-01-2012 00:01,426,645,533
01-01-2012 00:01,108,305,795
01-01-2012 00:01,845,237,735
01-01-2012 00:01,377,540,388
01-01-2012 00:01,363,418,650
01-01-2012 00:01,256,879,774
01-01-2012 00:01,386,469,30
01-01-2012 00:01,386,272,529
01-01-2012 00:01,78,252,886
01-01-2012 00:01,628,485,354
01-01-2012 00:01,847,104,605
01-01-2012 00:01,98,755,656
01-01-2012 00:01,846,169,241
01-01-2012 00:01,794,960,797
01-01-2012 00:01,925,251,68
01-01-2012 00:01,192,515,138
01-01-2012 00:01,185,140,777
01-01-2012 00:02,875,727,467
01-01-2012 00:02,273,598,616
01-01-2012 00:02,681,106,98
01-01-2012 00:02,171,829,858
01-01-2012 00:02,846,663,285
01-01-2012 00:02,448,552,764
01-01-2012 00:02,66,486,535
01-01-2012 00:02,287,958,643
01-01-2012 00:02,993,0,20
01-01-2012 00:02,391,301,139
01-01-2012 00:02,128,405,205
01-01-2012 00:02,472,667,199
01-01-2012 00:02,63,423,100
01-01-2012 00:02,728,54,342
01-01-2012 00:02,827,619,228
01-01-2012 00:02,40,719,58
01-01-2012 00:02,451,485,931
01-01-2012 00:02,800,364,492
01-01-2012 00:02,496,221,44
01-01-2012 00:02,888,510,74
01-01-2012 00:02,49,46,460
01-01-2012 00:02,630,683,963
01-01-2012 00:02,855,32,992
01-01-2012 00:02,331,276,992
01-01-2012 00:02,173,224,712
01-01-2012 00:02,414,61,889
01-01-2012 00:02,733,271,779
01-01-2012 00:02,53,879,392
01-01-2012 00:02,290,692,938
01-01-2012 00:02,325,472,311
01-01-2012 00:02,447,155,726
01-01-2012 00:02,796,341,377
01-01-2012 00:02,441,151,659
01-01-2012 00:02,666,742,736
01-01-2012 00:02,402,345,293
01-01-2012 00:02,571,898,918
01-01-2012 00:02,108,826,730
01-01-2012 00:02,90,73,279
01-01-2012 00:02,439,691,228
01-01-2012 00:02,552,193,353
01-01-2012 00:02,917,880,113
01-01-2012 00:02,961,27,743
01-01-2012 00:02,105,727,805
01-01-2012 00:02,359,213,834
01-01-2012 00:02,441,745,164
01-01-2012 00:02,385,440,214
01-01-2012 00:02,460,590,864
01-01-2012 00:02,300,52,76
01-01-2012 00:02,467,6,375
01-01-2012 00:02,460,422,579
01-01-2012 00:02,830,685,218
01-01-2012 00:02,223,513,142
01-01-2012 00:02,516,258,655
01-01-2012 00:02,560,857,645
01-01-2012 00:02,802,165,979
01-01-2012 00:02,597,575,468
01-01-2012 00:02,927,768,636
01-01-2012 00:02,47,278,273
01-01-2012 00:02,144,228,542
01-01-2012 00:02,988,949,972
01-01-2012 00:03,315,766,833
01-01-2012 00:03,72,991,85
01-01-2012 00:03,361,17,890
01-01-2012 00:03,273,82,364
01-01-2012 00:03,101,190,286
01-01-2012 00:03,284,855,96
01-01-2012 00:03,881,722,254
01-01-2012 00:03,591,178,543
01-01-2012 00:03,788,925,262
01-01-2012 00:03,805,651,698
01-01-2012 00:03,347,13,326
01-01-2012 00:03,528,662,588
01-01-2012 00:03,19,505,250
01-01-2012 00:03,644,133,908
01-01-2012 00:03,642,180,926
01-01-2012 00:03,130,391,70
01-01-2012 00:03,49,109,582
01-01-2012 00:03,74,983,954
01-01-2012 00:03,20,403,604
01-01-2012 00:03,745,841,432
01-01-2012 00:03,463,457,293
01-01-2012 00:03,288,633,964
01-01-2012 00:03,570,779,391
01-01-2012 00:03,453,342,687
01-01-2012 00:03,617,706,549
01-01-2012 00:03,988,33,131
01-01-2012 00:03,902,852,363
01-01-2012 00:03,841,991,984
01-01-2012 00:03,332,980,82
01-01-2012 00:03,314,381,763
01-01-2012 00:03,7,444,112
01-01-2012 00:03,615,305,890
01-01-2012 00:03,83,775,143
01-01-2012 00:03,815,189,55
01-01-2012 00:03,411,713,620
01-01-2012 00:03,20,629,612
01-01-2012 00:03,299,846,837
01-01-2012 00:03,552,290,55
01-01-2012 00:03,118,468,400
01-01-2012 00:03,793,318,713
01-01-2012 00:03,33,638,454
01-01-2012 00:03,671,771,252
01-01-2012 00:03,521,998,619
01-01-2012 00:03,846,439,495
01-01-2012 00:03,34,544,24
01-01-2012 00:03,174,522,545
01-01-2012 00:03,163,400,523
01-01-2012 00:03,207,608,118
01-01-2012 00:03,281,969,268
01-01-2012 00:03,721,724,622
01-01-2012 00:03,854,494,214
01-01-2012 00:03,675,708,358
01-01-2012 00:03,172,334,471
01-01-2012 00:03,779,594,736
01-01-2012 00:03,505,344,113
01-01-2012 00:03,933,460,727
01-01-2012 00:03,230,578,587
01-01-2012 00:03,484,577,659
01-01-2012 00:03,39,33,661
01-01-2012 00:03,142,608,705
01-01-2012 00:04,162,97,90
01-01-2012 00:04,670,844,180
01-01-2012 00:04,989,729,343
01-01-2012 00:04,696,64,242
01-01-2012 00:04,933,677,358
01-01-2012 00:04,725,649,557
01-01-2012 00:04,282,124,553
01-01-2012 00:04,513,697,274
01-01-2012 00:04,881,957,243
01-01-2012 00:04,650,494,397
01-01-2012 00:04,312,494,800
01-01-2012 00:04,43,232,529
01-01-2012 00:04,284,880,29
01-01-2012 00:04,514,543,910
01-01-2012 00:04,688,726,315
01-01-2012 00:04,97,429,488
01-01-2012 00:04,335,689,999
01-01-2012 00:04,389,591,357
01-01-2012 00:04,147,48,795
01-01-2012 00:04,153,951,255
01-01-2012 00:04,870,175,645
01-01-2012 00:04,564,442,625
01-01-2012 00:04,767,335,544
01-01-2012 00:04,11,461,294
01-01-2012 00:04,243,129,332
01-01-2012 00:04,171,786,609
01-01-2012 00:04,392,414,334
01-01-2012 00:04,131,750,574
01-01-2012 00:04,685,159,336
01-01-2012 00:04,388,492,422
01-01-2012 00:04,864,731,268
01-01-2012 00:04,451,923,908
01-01-2012 00:04,987,250,638
01-01-2012 00:04,876,312,482
01-01-2012 00:04,359,279,8
01-01-2012 00:04,6,100,889
01-01-2012 00:04,355,789,130
01-01-2012 00:04,583,3,169
01-01-2012 00:04,129,948,813
01-01-2012 00:04,615,517,568
01-01-2012 00:04,597,642,528
01-01-2012 00:04,329,87,238
01-01-2012 00:04,827,359,38
01-01-2012 00:04,667,509,742
01-01-2012 00:04,894,812,93
01-01-2012 00:04,603,387,977
01-01-2012 00:04,806,386,380
01-01-2012 00:04,749,832,96
01-01-2012 00:04,15,557,221
01-01-2012 00:04,761,935,182
01-01-2012 00:04,992,675,955
01-01-2012 00:04,606,547,163
01-01-2012 00:04,174,815,393
01-01-2012 00:04,789,27,675
01-01-2012 00:04,287,621,524
01-01-2012 00:04,673,446,64
01-01-2012 00:04,719,474,661
01-01-2012 00:04,670,431,732
01-01-2012 00:04,149,838,310
01-01-2012 00:04,679,131,845
01-01-2012 00:05,810,888,592
